Year|Code|Title|Instructor|School|Term|Period|Classroom|c_id
2024|GENX201S|Intermediate Seminar (global governance of education policy) [E] 01|EDWARDS JR, Donald Brent|Schl Political Sci/Econo|fall semester|['Thur.5']|['3-607']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3601202411G0001S3611&pLng=en
2024|GENX201S|Intermediate Seminar (Democracy: For and Against) [E] 01|KOBAYASHI, Takuto|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-1104実習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3701202411G0001S3711&pLng=en
2024|GENX201S|Intermediate Seminar (Postwar Japan and Asia) [E] 01|FUJITA, Goro|Schl Political Sci/Econo|fall semester|['Wed.3']|['3-710']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3801202411G0001S3811&pLng=en
2024|GENX201S|Intermediate Seminar (Fundamentals for Aspiring Political Methodologists) [E] 01|YAMAMOTO, Teppei|Schl Political Sci/Econo|summer quarter|['01:Tues.3', '02:Fri.3']|['01:3-915実習室', '02:3-915実習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3901202411G0001S3911&pLng=en
2024|GENX201S|Intermediate Seminar (Fundamentals for Aspiring Political Methodologists) [E] 02|YAMAMOTO, Teppei|Schl Political Sci/Econo|fall quarter|['01:Tues.3', '02:Fri.3']|['01:3-915実習室', '02:3-915実習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3902202411G0001S3911&pLng=en
2024|GENX201S|Intermediate Seminar (Fundamentals for Aspiring Political Methodologists) [E] 03|YAMAMOTO, Teppei|Schl Political Sci/Econo|winter quarter|['01:Tues.3', '02:Fri.3']|['01:3-915実習室', '02:3-915実習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S3903202411G0001S3911&pLng=en
2024|GENX201S|Intermediate Seminar (International Migration in the Americas) [E] 01|TAKAHASHI, Yuriko|Schl Political Sci/Econo|fall semester|['Thur.2']|['3-807']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4001202411G0001S4011&pLng=en
2024|GENX201S|Intermediate Seminar (Introduction to philosophy of science) [E] 01|KVASOV, Dmitriy|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-713']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4101202411G0001S4111&pLng=en
2024|GENX201S|Intermediate Seminar (Mathematical and numerical methods for social sciences) [E] 01|KVASOV, Dmitriy|Schl Political Sci/Econo|fall semester|['Tues.2']|['3-915実習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4201202411G0001S4211&pLng=en
2024|GENX201S|Intermediate Seminar (Economics in Fiction) [E] 01|DEJARNETTE, Patrick|Schl Political Sci/Econo|fall semester|['Thur.5']|['3-809']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4301202411G0001S4311&pLng=en
2024|GENX201S|Intermediate Seminar (Latin American Politics) [E] 01|KELLAM, Marisa|Schl Political Sci/Econo|spring semester|['Thur.4']|['3-708']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4401202411G0001S4411&pLng=en
2024|GENX201S|Intermediate Seminar (Elections) [E] 01|KELLAM, Marisa|Schl Political Sci/Econo|fall semester|['Thur.4']|['3-713']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4501202411G0001S4511&pLng=en
2024|GENX201S|Intermediate Seminar (Problems of History and Historiography)[E] 01|KARAISL, Antonia|Schl Political Sci/Econo|spring semester|['Mon.3']|['3-712']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4601202411G0001S4611&pLng=en
2024|GENX201S|Intermediate Seminar (From Rome's Ancient Script to Times New Roman – A Brief History of Writing in Europe) [E] 01|KARAISL, Antonia|Schl Political Sci/Econo|fall semester|['Mon.3']|['3-605']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4701202411G0001S4711&pLng=en
2024|GENX201S|Intermediate Seminar (Democratic Backsliding in a Comparative Perspective)  [E] 01|SATO, Yuko|Schl Political Sci/Econo|spring semester|['Tues.3']|['3-812']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4801202411G0001S4811&pLng=en
2024|GENX201S|Intermediate Seminar (Valuing Democracy: Non-Instrumental Approaches) [E] 01|KOBAYASHI, Takuto|Schl Political Sci/Econo|spring semester|['Fri.5']|['3-604']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S4901202411G0001S4911&pLng=en
2024|GENX201S|Intermediate Seminar (Machine Learning and Causal Inference) [E] 01|DENDUP, Ngawang|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-608']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S5001202411G0001S5011&pLng=en
2024|GENX201S|Intermediate Seminar (Empirical Analysis of Issues in Development Economics) [E] 01|PERVIN, Shahida|Schl Political Sci/Econo|spring semester|['Mon.3']|['3-708']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S5101202411G0001S5111&pLng=en
2024|GENX201S|Intermediate Seminar (Labor, Family and Public Economics) [E] 01|PERVIN, Shahida|Schl Political Sci/Econo|spring semester|['Tues.2']|['3-703']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G0001S5201202411G0001S5211&pLng=en
2024|INTA201L|International Relations of Japan [E] 01|KUNIYOSHI, Tomoki|Schl Political Sci/Econo|fall semester|['Thur.5']|['3-701']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G000208001202411G000208011&pLng=en
2024|POLX111L|Introduction to Political Analysis [E] 01|KELLAM, Marisa|Schl Political Sci/Econo|fall semester|['01:Tues.3', '02:Wed.2']|['02:3-405', '02:3-501', '02:3-601', '02:3-703', '02:3-709']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100101001202411G100101011&pLng=en
2024|POLX121L|Public Philosophy (Political Perspectives) [E] 01|CHUNG, Hun|Schl Political Sci/Econo|spring semester|['Tues.4']|['3-401']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100102001202411G100102011&pLng=en
2024|POLX261L|Japanese Political History [E] 01|IOKIBE, Kaoru／LEE, Byeongcheol／TSUKAME, Takanori|Schl Political Sci/Econo|fall semester|['Wed.2']|['3-801']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100104001202411G100104011&pLng=en
2024|ECNT131L|Japanese Economic History (Introductory) [E] 01|SHIZUME, Masato|Schl Political Sci/Econo|spring quarter|['01:Tues.1', '02:Tues.2']|['01:3-402', '02:3-402']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100105001202411G100105011&pLng=en
2024|ECNH101L|Global Economic History (Introductory) [E] 01|KOBAYASHI, Kazuo|Schl Political Sci/Econo|fall semester|['Tues.2']|['3-405']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100105501202411G100105511&pLng=en
2024|LAWA211L|Constitutionalism [E] 01|SAITO, Sayuri|Schl Political Sci/Econo|spring semester|['Fri.4']|['3-405']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100106001202411G100106011&pLng=en
2024|POLX311L|Political Behavior [E] 01|ONO, Yoshikuni|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-605']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100107001202411G100107011&pLng=en
2024|INTA101L|Introduction to International Relations [E] 01|TAGO, Atsushi|Schl Political Sci/Econo|spring semester|['Thur.2']|['3-305']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100108001202411G100108011&pLng=en
2024|POLX211L|Japanese Politics [E] 01|KOHNO, Masaru|Schl Political Sci/Econo|spring semester|['01:Wed.2', '02:othersOn demand']|['3-306']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100109001202411G100109011&pLng=en
2024|LAWH201L|Japanese Constitutional Law [E] 01|SAITO, Sayuri|Schl Political Sci/Econo|fall semester|['Mon.4']|['3-405']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100110001202411G100110011&pLng=en
2024|POLX221L|History of Political Thought [E] 01|INAMURA, Kazutaka|Schl Political Sci/Econo|spring semester|['01:Fri.1', '02:othersOn demand']|['3-502']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100111001202411G100111011&pLng=en
2024|POLX331L|Comparative Democratization [E] 01|KUBO, Keiichi|Schl Political Sci/Econo|spring semester|['Mon.3']|['3-502']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100112001202411G100112011&pLng=en
