Year|Code|Title|Instructor|School|Term|Period|Classroom|c_id
2024|GENX301S|Advanced Seminar I [E] 03|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-706']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105903202411G400105911&pLng=en
2024|GENX301S|Advanced Seminar I [E] 07|SHIMOKAWA, Satoru|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-711']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105907202411G400105911&pLng=en
2024|GENX201S|Advanced Seminar I [E] 12|SEDDON, Jack|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-808']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105912202411G400105911&pLng=en
2024|GENX201S|Advanced Seminar I [E] 13|DEJARNETTE, Patrick|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-608']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400105913202411G400105911&pLng=en
2024|POLX241L|Transnational Relations [E] 01|TOMARU, Junko|Schl Political Sci/Econo|spring semester|['Fri.2']|['3-601']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106001202411G400106011&pLng=en
2024|POLX201L|Comparative Politics of East Asia [E] 01|JOU, Willy|Schl Political Sci/Econo|fall semester|['Mon.2']|['3-404']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106101202411G400106111&pLng=en
2024|PHLT241L|Japanese Political Thought A [E] 01|MIDDLETON, Benjamin Dugald／UMEMORI, Naoyuki|Schl Political Sci/Econo|spring semester|['Fri.2']|['3-306']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106401202411G400106411&pLng=en
2024|PHLT241L|Japanese Political Thought B [E] 01|MIDDLETON, Benjamin Dugald／UMEMORI, Naoyuki|Schl Political Sci/Econo|fall semester|['Fri.2']|['3-701']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106501202411G400106511&pLng=en
2024|GENX301S|Advanced Seminar II [E] 01|KELLAM, Marisa|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-713']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106801202411G400106811&pLng=en
2024|GENX301S|Advanced Seminar II [E] 03|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-607']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106803202411G400106811&pLng=en
2024|GENX301S|Advanced Seminar II [E] 07|SHIMOKAWA, Satoru|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-711']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106807202411G400106811&pLng=en
2024|GENX301S|Advanced Seminar II [E] 12|SEDDON, Jack|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-809']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106812202411G400106811&pLng=en
2024|GENX301S|Advanced Seminar II [E] 13|DEJARNETTE, Patrick|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-811']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400106813202411G400106811&pLng=en
2024|ECNA301L|Chinese Economy [E] 01|YANG, Cheng|Schl Political Sci/Econo|an intensive course(spring)|['othersothers']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400107201202411G400107211&pLng=en
2024|ECNA341L|Labor Economics II [E] 01|MURAKAMI, Yukiko|Schl Political Sci/Econo|fall semester|['Fri.2']|['3-404']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400107401202411G400107411&pLng=en
2024|ECNT301L|Industrial Ecology [E] 01|KONDO, Yasushi|Schl Political Sci/Econo|fall semester|['Mon.3']|['3-701']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400107601202411G400107611&pLng=en
2024|ECNT331L|Experimental Economics I [E] 01|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|fall semester|['Fri.2']|['3-809']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400107901202411G400107911&pLng=en
2024|ECNA281L|International Political Economy [E] 01|SEDDON, Jack|Schl Political Sci/Econo|fall semester|['Mon.1']|['3-301']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400108001202411G400108011&pLng=en
2024|POLX261L|Western Political History [E] 01|NAKAUCHI, Eizo|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-305']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400108201202411G400108211&pLng=en
2024|ECNA221L|Money and Banking I [E] 01|KOEDA, Junko|Schl Political Sci/Econo|spring semester|['Thur.3']|['3-601']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400108301202411G400108311&pLng=en
2024|ECNA361L|Environmental Economics [E] 01|HORIE, Tetsuya|Schl Political Sci/Econo|spring semester|['othersOn demand']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400108601202411G400108611&pLng=en
2024|ECNA311L|International Macroeconomics [E] 01|SCHLEGL, Matthias|Schl Political Sci/Econo|spring semester|['Wed.4']|['3-607']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400109401202411G400109411&pLng=en
2024|ECNA251L|Industrial Organization [E] 01|TOYAMA, Yuta|Schl Political Sci/Econo|fall semester|['Fri.2']|['3-502']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400109501202411G400109511&pLng=en
2024|ECNA361L|Economics of Resources and Food [E] 01|SHIMOKAWA, Satoru|Schl Political Sci/Econo|spring semester|['Tues.4']|['3-305']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400109801202411G400109811&pLng=en
2024|POLX241L|International Organization [E] 01|NAKAMURA, Hidetoshi|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-306']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400109901202411G400109911&pLng=en
2024|POLX241L|International Public Administration [E] 01|TAKEDA, Ken|Schl Political Sci/Econo|fall semester|['Mon.3']|['3-404']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400110001202411G400110011&pLng=en
2024|POLX331L|NPOs and NGOs [E] 01|NODA, Masato|Schl Political Sci/Econo|fall semester|['Fri.5']|['3-809']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400110101202411G400110111&pLng=en
2024|ECNA331L|Public Economics [E] 01|ADACHI, Tsuyoshi|Schl Political Sci/Econo|fall semester|['Mon.1']|['15-03']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400110301202411G400110311&pLng=en
2024|POLX231L|Comparative Politics [E] 01|JOU, Willy|Schl Political Sci/Econo|fall semester|['01:Mon.4', '02:Thur.2']|['01:3-306', '02:3-406']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400110901202411G400110911&pLng=en
2024|POLX341L|Global Governance Studies [E] 01|OBAYASHI, Kazuhiro|Schl Political Sci/Econo|fall semester|['Wed.2']|['3-710']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111001202411G400111011&pLng=en
2024|GENX301S|Advanced Seminar III [E] 03|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|spring semester|['Thur.4']|['3-706']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111103202411G400111111&pLng=en
2024|GENX301S|Advanced Seminar III [E] 05|KOEDA, Junko|Schl Political Sci/Econo|spring semester|['Thur.4']|['3-914実習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111105202411G400111111&pLng=en
2024|GENX301S|Advanced Seminar III [E] 07|SHIMOKAWA, Satoru|Schl Political Sci/Econo|spring semester|['Thur.4']|['3-711']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111107202411G400111111&pLng=en
2024|GENX301S|Advanced Seminar III [E] 12|SEDDON, Jack|Schl Political Sci/Econo|spring semester|['Thur.4']|['3-808']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111112202411G400111111&pLng=en
2024|GENX301S|Advanced Seminar III [E] 13|DEJARNETTE, Patrick|Schl Political Sci/Econo|spring semester|['Thur.4']|['3-608']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111113202411G400111111&pLng=en
2024|GENX401S|Advanced Seminar IV [E] 03|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|fall semester|['Thur.4']|['3-607']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111203202411G400111211&pLng=en
2024|GENX401S|Advanced Seminar IV [E] 05|KOEDA, Junko|Schl Political Sci/Econo|fall semester|['Thur.4']|['3-915実習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111205202411G400111211&pLng=en
2024|GENX401S|Advanced Seminar IV [E] 07|SHIMOKAWA, Satoru|Schl Political Sci/Econo|fall semester|['Thur.4']|['3-711']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111207202411G400111211&pLng=en
2024|GENX401S|Advanced Seminar IV [E] 12|SEDDON, Jack|Schl Political Sci/Econo|fall semester|['Thur.4']|['3-809']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111212202411G400111211&pLng=en
2024|GENX301S|Advanced Seminar IV [E] 13|DEJARNETTE, Patrick|Schl Political Sci/Econo|fall semester|['Thur.4']|['3-811']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111213202411G400111211&pLng=en
2024|ECNA331L|Social Security [E] 01|BESSHO, Shunichiro|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-402']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111301202411G400111311&pLng=en
2024|POLX331L|Regional Integration [E] 01|NAKAMURA, Hidetoshi|Schl Political Sci/Econo|spring semester|['Tues.3']|['3-811']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111401202411G400111411&pLng=en
2024|GENX409T|Thesis [E] 03|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|fall semester|['othersothers']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111703202411G400111711&pLng=en
2024|GENX409T|Thesis [E] 05|KOEDA, Junko|Schl Political Sci/Econo|fall semester|['othersothers']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111705202411G400111711&pLng=en
2024|GENX409T|Thesis [E] 07|SHIMOKAWA, Satoru|Schl Political Sci/Econo|fall semester|['othersothers']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111707202411G400111711&pLng=en
2024|GENX409T|Thesis [E] 12|SEDDON, Jack|Schl Political Sci/Econo|fall semester|['othersothers']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111712202411G400111711&pLng=en
2024|GENX301S|Thesis [E] 13|DEJARNETTE, Patrick|Schl Political Sci/Econo|fall semester|['othersothers']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111713202411G400111711&pLng=en
2024|GENX409T|Thesis [E] 03|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|spring semester|['othersothers']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111803202411G400111811&pLng=en
2024|GENX409T|Thesis [E] 04|ASAKO, Yasushi|Schl Political Sci/Econo|spring semester|['othersothers']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111804202411G400111811&pLng=en
2024|GENX409T|Thesis [E] 05|KOEDA, Junko|Schl Political Sci/Econo|spring semester|['othersothers']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111805202411G400111811&pLng=en
2024|GENX409T|Thesis [E] 07|SHIMOKAWA, Satoru|Schl Political Sci/Econo|spring semester|['othersothers']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111807202411G400111811&pLng=en
2024|GENX409T|Thesis [E] 12|SEDDON, Jack|Schl Political Sci/Econo|spring semester|['othersothers']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111812202411G400111811&pLng=en
2024|GENX301S|Thesis [E] 13|DEJARNETTE, Patrick|Schl Political Sci/Econo|spring semester|['othersothers']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111813202411G400111811&pLng=en
2024|ECNA381L|Political Economics [E] 01|KONISHI, Hideki|Schl Political Sci/Econo|fall semester|['Wed.1']|['3-405']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400111901202411G400111911&pLng=en
2024|POLX211L|Public Choice [E] 01|HIROSE, Kentaro|Schl Political Sci/Econo|fall semester|['Fri.2']|['3-601']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400112601202411G400112611&pLng=en
2024|POLX351L|Comparative Public Policy [E] 01|MATSUDA, Noritada|Schl Political Sci/Econo|spring semester|['Mon.2']|['3-304']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400113201202411G400113211&pLng=en
2024|ECNT411L|Advanced Microeconomics A [E] 01|TANAKA, Hisatoshi|Schl Political Sci/Econo|winter quarter|['01:Mon.2', '02:Thur.2']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400113301202411G400113311&pLng=en
2024|ECNT411L|Advanced Macroeconomics A [E] 01|UEDA, Kozo／OIKAWA, Koki|Schl Political Sci/Econo|winter quarter|['01:Tues.1', '02:Thur.1']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400113401202411G400113411&pLng=en
2024|ECNT411L|Advanced Microeconomics B [E] 01|ADACHI, Tsuyoshi|Schl Political Sci/Econo|summer quarter|['01:Mon.1', '02:Thur.1']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400113501202411G400113511&pLng=en
2024|ECNT411L|Advanced Macroeconomics B [E] 01|KIKUCHI, Tomoo|Schl Political Sci/Econo|fall quarter|['01:Wed.3', '02:Wed.4']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400113601202411G400113611&pLng=en
2024|MATX311L|Advanced Linear Algebra [E] 01|INOUE, Kiyoshi|Schl Political Sci/Econo|winter quarter|['othersOn demand']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400113701202411G400113711&pLng=en
2024|MATX331L|Advanced Calculus [E] 01|NOBE, Atsushi|Schl Political Sci/Econo|fall quarter|['01:Tues.3', '02:Fri.4']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400113801202411G400113811&pLng=en
2024|INFN101L|Introduction to C Programming [E] 01|SAITO, Daisuke|Schl Political Sci/Econo|fall semester|['Mon.3']|['63-3F-A']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400114001202411G400114011&pLng=en
2024|INFN101L|Introduction to C Programming [E] 02|SIMO SERRA, Edgar|Schl Political Sci/Econo|fall semester|['Mon.4']|['63-3F-A']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400114002202411G400114011&pLng=en
2024|INFN201L|C Programming [E] 02|SAITO, Daisuke|Schl Political Sci/Econo|spring semester|['Mon.3']|['63-3F-B']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400114302202411G400114311&pLng=en
2024|INFN201L|C Programming [E] 03|WEN, Zheng|Schl Political Sci/Econo|spring semester|['Fri.3']|['63-3F-B']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400114303202411G400114311&pLng=en
2024|POLX231L|Comparative Politics of Western Europe [E] 01|BOLZONARO, Fabio|Schl Political Sci/Econo|spring semester|['Fri.2']|['3-802']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400114601202411G400114611&pLng=en
2024|ECNA341L|Personnel Economics [E] 01|OWAN, Hideo|Schl Political Sci/Econo|spring semester|['Thur.1']|['3-401']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400114701202411G400114711&pLng=en
2024|ECNT211L|Public Philosophy (Economic Perspectives) [E] 01|CHUNG, Hun|Schl Political Sci/Econo|spring semester|['Tues.2']|['3-305']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400114901202411G400114911&pLng=en
2024|POLX211L|Comparative Political Economy [E] 01|SEDDON, Jack|Schl Political Sci/Econo|spring semester|['Mon.2']|['3-305']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400115101202411G400115111&pLng=en
2024|POLX251L|Public Policy [E] 01|MATSUDA, Noritada|Schl Political Sci/Econo|fall semester|['01:Tues.1', '02:Tues.2']|['01:3-305', '02:3-305']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400115201202411G400115211&pLng=en
2024|POLX221L|Contemporary Political Theory I [E] 01|CHENG, Eric|Schl Political Sci/Econo|spring semester|['Wed.2']|['3-502']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400115301202411G400115311&pLng=en
2024|POLX221L|Contemporary Political Theory II [E] 01|CHENG, Eric|Schl Political Sci/Econo|spring semester|['Fri.3']|['3-502']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400115401202411G400115411&pLng=en
2024|PHLT341L|History of Media and Politics [E] 01|TSUCHIYA, Reiko|Schl Political Sci/Econo|spring semester|['Mon.2']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400115501202411G400115511&pLng=en
2024|ECNA211L|International Economics [E] 01|CHESNOKOVA, Tatyana|Schl Political Sci/Econo|fall semester|['Wed.3']|['3-301']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400115601202411G400115611&pLng=en
2024|ECNT211L|Comparative Institutional Analysis [E] 01|SHIMIZU, Kazumi|Schl Political Sci/Econo|spring semester|['Tues.1']|['3-405']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400115701202411G400115711&pLng=en
2024|ECNT211L|History of Economic Thought I [E] 01|WAKATABE, Masazumi|Schl Political Sci/Econo|fall semester|['Wed.2']|['3-402']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400115801202411G400115811&pLng=en
2024|ECNT331L|Advanced Game Theory [E] 01|ABE, Takaaki|Schl Political Sci/Econo|summer quarter|['01:Wed.1', '02:Fri.1']|['undecided']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400116001202411G400116011&pLng=en
2024|STAX201L|Mathematical Statistics [E] 01|INOUE, Kiyoshi|Schl Political Sci/Econo|fall semester|['Fri.3']|['3-605']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400116101202411G400116111&pLng=en
2024|ECNH201L|Japanese Economic History (Intermediate) [E] 01|KAWASHIMA, Toshiki|Schl Political Sci/Econo|fall semester|['01:Tues.2', '02:Fri.2']|['01:3-301', '02:3-710']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400116301202411G400116311&pLng=en
2024|ECNH201L|Global Economic History (Intermediate) [E] 01|KOBAYASHI, Kazuo|Schl Political Sci/Econo|spring semester|['01:Tues.3', '02:Tues.4']|['01:3-304', '02:3-304']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400116401202411G400116411&pLng=en
2024|ECNT221L|Econometrics II [E] 01|HOSHINO, Tadao|Schl Political Sci/Econo|spring semester|['Tues.2']|['3-704']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400116501202411G400116511&pLng=en
2024|ECNA311L|International Trade [E] 01|WATABE, Yuta|Schl Political Sci/Econo|spring semester|['Thur.2']|['3-808']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400116901202411G400116911&pLng=en
2024|ECNA311L|Spatial Economics [E] 01|SAITO, Yukiko|Schl Political Sci/Econo|spring semester|['Thur.2']|['3-703']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400117001202411G400117011&pLng=en
2024|ECNA241L|Labor Economics I [E] 01|DEJARNETTE, Patrick|Schl Political Sci/Econo|spring semester|['Thur.5']|['3-701']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400117201202411G400117211&pLng=en
2024|ECNA211L|Development Economics I [E] 01|FUKAGAWA, Yukiko|Schl Political Sci/Econo|fall semester|['Mon.3']|['3-601']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400117301202411G400117311&pLng=en
2024|ECNA311L|Development Economics II [E] 01|TAKAHASHI, Ryo|Schl Political Sci/Econo|spring semester|['Fri.2']|['3-406']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400117401202411G400117411&pLng=en
2024|ECNH301L|Issues in Japanese Economic History A [E] 01|KAWASHIMA, Toshiki|Schl Political Sci/Econo|spring semester|['Tues.2']|['3-601']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400117801202411G400117811&pLng=en
2024|ECNH301L|Issues in Global Economic History A [E] 01|KOBAYASHI, Kazuo|Schl Political Sci/Econo|fall semester|['Fri.2']|['3-402']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400118001202411G400118011&pLng=en
2024|ECNH301L|Issues in Global Economic History B [E] 01|MOTONO, Eiichi|Schl Political Sci/Econo|fall semester|['Mon.2']|['3-701']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400118101202411G400118111&pLng=en
2024|POLX301L|Political Text Analysis [E] 01|FAHEY, Robert Andrew|Schl Political Sci/Econo|spring semester|['Wed.4']|['3-605']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400118301202411G400118311&pLng=en
2024|POLX311L|Political Parties [E] 01|JOU, Willy|Schl Political Sci/Econo|fall semester|['Thur.3']|['3-810']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400118401202411G400118411&pLng=en
2024|POLX231L|Comparative Politics of New Democracies [E] 01|KELLAM, Marisa|Schl Political Sci/Econo|spring semester|['Tues.3']|['3-809']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400118501202411G400118511&pLng=en
2024|ECNT301L|Advanced Econometrics (Cross-Section and Panel Data Analysis) [E] 01|ARAI, Yoichi|Schl Political Sci/Econo|winter quarter|['01:Wed.1', '02:othersOn demand']|['14-506共同利用研究室1']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400118601202411G400118611&pLng=en
2024|STAX201L|Quantitative Analysis [E] 01|FAHEY, Robert Andrew|Schl Political Sci/Econo|fall semester|['Wed.4']|['3-605']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400118701202411G400118711&pLng=en
2024|STAX201L|Survey Research [E] 01|ONO, Yoshikuni|Schl Political Sci/Econo|spring semester|['Tues.3']|['3-913実習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400118801202411G400118811&pLng=en
2024|ECNA301L|Population Economics [E] 01|YOSHIDA, Masahiro|Schl Political Sci/Econo|fall semester|['Fri.2']|['3-305']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400119101202411G400119111&pLng=en
2024|ECNA211L|Asian Economy [E] 01|TODO, Yasuyuki|Schl Political Sci/Econo|spring semester|['Thur.4']|['3-401']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G400119201202411G400119211&pLng=en
